"","PSY6.qc","PSY7.qc","PSY8.qc","PSY9.qc"
"67","TRUE",NA,"TRUE","TRUE"
"68","FALSE",NA,"TRUE","TRUE"
"69","TRUE",NA,"TRUE","TRUE"
"70","TRUE",NA,"TRUE","TRUE"
"71","TRUE","TRUE","TRUE","TRUE"
"72","TRUE","TRUE","TRUE","TRUE"
"73","TRUE","TRUE","TRUE","TRUE"
"74","TRUE","TRUE","TRUE","TRUE"
"75","TRUE","TRUE","TRUE","TRUE"
"76","TRUE","TRUE","TRUE","FALSE"
"77","TRUE","TRUE","TRUE","TRUE"
"78",NA,"TRUE",NA,"FALSE"
"79",NA,"TRUE",NA,"TRUE"
"80",NA,"TRUE",NA,"TRUE"
"81",NA,"TRUE",NA,"TRUE"
"82",NA,"TRUE",NA,"TRUE"
"83",NA,"TRUE",NA,"TRUE"
"84",NA,"TRUE",NA,"TRUE"
"85",NA,"TRUE","TRUE","TRUE"
"86",NA,"TRUE","TRUE","TRUE"
"87",NA,"TRUE","TRUE","TRUE"
"88",NA,"TRUE","TRUE","TRUE"
"89",NA,"TRUE","TRUE","TRUE"
"90",NA,"TRUE","TRUE","TRUE"
"91",NA,"TRUE","TRUE","TRUE"
"92","TRUE","TRUE","TRUE","TRUE"
"93","TRUE","TRUE","TRUE","TRUE"
"94","TRUE","TRUE","TRUE","TRUE"
"95","TRUE",NA,"TRUE","TRUE"
"96","TRUE","TRUE","TRUE","TRUE"
"97","TRUE","TRUE","TRUE","TRUE"
"98","TRUE","TRUE","TRUE","TRUE"
"99","TRUE",NA,NA,NA
"100","TRUE",NA,NA,NA
"101","TRUE",NA,NA,NA
"102","TRUE",NA,NA,NA
"103","TRUE",NA,NA,NA
"104","TRUE",NA,NA,NA
"105","TRUE",NA,NA,NA
"106","TRUE",NA,"TRUE",NA
"107","TRUE",NA,"TRUE",NA
"108","TRUE",NA,"TRUE",NA
"109","TRUE",NA,"TRUE",NA
"110","TRUE",NA,"TRUE",NA
"111","TRUE",NA,"TRUE",NA
"112","TRUE",NA,"TRUE",NA
"113","TRUE",NA,NA,NA
"114","TRUE",NA,NA,NA
"115","TRUE",NA,NA,"TRUE"
"116","TRUE",NA,NA,NA
"117","TRUE",NA,NA,NA
"118","TRUE",NA,NA,NA
"119","TRUE",NA,NA,NA
"120","TRUE",NA,NA,NA
"121","TRUE",NA,NA,NA
"122","TRUE",NA,NA,NA
"123","TRUE",NA,NA,NA
"124","TRUE",NA,NA,NA
"125","TRUE",NA,NA,NA
"126","TRUE",NA,NA,NA
"127",NA,NA,"TRUE","FALSE"
"128",NA,NA,"TRUE","TRUE"
"129",NA,NA,"TRUE","TRUE"
"130",NA,NA,"TRUE","TRUE"
"131",NA,NA,"TRUE","TRUE"
"132",NA,NA,"TRUE","TRUE"
"133",NA,NA,"TRUE","TRUE"
"134","TRUE","TRUE","TRUE","TRUE"
"135","TRUE","TRUE","TRUE","TRUE"
"136","TRUE","TRUE","TRUE","TRUE"
"137","TRUE","TRUE","TRUE","TRUE"
"138","TRUE","TRUE","TRUE","TRUE"
"139","TRUE","TRUE","TRUE","FALSE"
"140","TRUE","TRUE","TRUE","FALSE"
"141","TRUE","FALSE",NA,"TRUE"
"142","TRUE",NA,NA,"TRUE"
"143","TRUE",NA,NA,"FALSE"
"144","TRUE",NA,NA,"TRUE"
"145","TRUE",NA,NA,"TRUE"
"146","TRUE",NA,NA,"TRUE"
"147","TRUE",NA,NA,"TRUE"
"148","TRUE",NA,"TRUE","FALSE"
"149","TRUE",NA,"TRUE","TRUE"
"150","TRUE",NA,"TRUE","TRUE"
"151","TRUE",NA,"TRUE","TRUE"
"152","TRUE",NA,"TRUE","TRUE"
"153","TRUE",NA,"TRUE","TRUE"
"154","TRUE",NA,"TRUE","TRUE"
"155","TRUE","TRUE","TRUE","TRUE"
"156","TRUE","TRUE","TRUE","TRUE"
"157","TRUE","TRUE","TRUE","TRUE"
"158","TRUE","FALSE","TRUE","FALSE"
"159","TRUE","FALSE","TRUE","TRUE"
"160","TRUE","FALSE","TRUE","TRUE"
"161","TRUE","FALSE","TRUE","TRUE"
"162","TRUE",NA,"TRUE","TRUE"
"163","TRUE",NA,"TRUE","TRUE"
"164","TRUE",NA,"TRUE","TRUE"
"165","TRUE",NA,"TRUE","TRUE"
"166","TRUE",NA,"TRUE","FALSE"
"167","TRUE",NA,"TRUE","TRUE"
"168","TRUE",NA,"TRUE","TRUE"
"169",NA,"TRUE","TRUE","TRUE"
"170",NA,"TRUE","TRUE","TRUE"
"171",NA,"TRUE","TRUE","TRUE"
"172",NA,"TRUE","TRUE","TRUE"
"173",NA,"TRUE","TRUE","TRUE"
"174",NA,"TRUE","TRUE","TRUE"
"175",NA,"TRUE","TRUE","TRUE"
"176","TRUE","TRUE","TRUE","TRUE"
"177","TRUE","TRUE","TRUE","TRUE"
"178","TRUE","TRUE","TRUE","TRUE"
"179","TRUE","TRUE","TRUE","TRUE"
"180","TRUE","TRUE","TRUE","TRUE"
"181","TRUE","TRUE","TRUE","TRUE"
"182","TRUE","TRUE","TRUE","TRUE"
"183","TRUE","TRUE","TRUE","TRUE"
"184","TRUE","FALSE","TRUE","TRUE"
"185","TRUE","FALSE","TRUE","TRUE"
"186","TRUE","FALSE","TRUE","TRUE"
"187","TRUE","FALSE","TRUE","TRUE"
"188","TRUE","FALSE","TRUE","TRUE"
"189","TRUE","FALSE","TRUE","TRUE"
"190","TRUE","FALSE","TRUE","TRUE"
"191","TRUE","TRUE","TRUE","TRUE"
"192","TRUE","TRUE","TRUE","TRUE"
"193","TRUE","TRUE","TRUE","TRUE"
"194","TRUE","TRUE","TRUE","TRUE"
"195","TRUE","FALSE","TRUE","TRUE"
"196","TRUE","TRUE","TRUE","TRUE"
"197",NA,"TRUE","TRUE","TRUE"
"198",NA,"TRUE","TRUE","FALSE"
"199",NA,"TRUE","TRUE","TRUE"
"200",NA,"TRUE","TRUE","TRUE"
"201",NA,"TRUE","TRUE","TRUE"
"202",NA,"TRUE","TRUE","TRUE"
"203",NA,"TRUE","TRUE","TRUE"
"204",NA,"TRUE","TRUE","TRUE"
"205",NA,"TRUE","TRUE","TRUE"
"206",NA,"TRUE","TRUE","TRUE"
"207",NA,"TRUE","TRUE","TRUE"
"208",NA,"TRUE","TRUE","TRUE"
"209",NA,"TRUE","TRUE","TRUE"
"210",NA,"TRUE","FALSE","TRUE"
"211","TRUE","TRUE","TRUE","TRUE"
"212","TRUE","TRUE","TRUE","TRUE"
"213","TRUE","TRUE","TRUE","TRUE"
"214","TRUE","TRUE","TRUE","TRUE"
"215","TRUE","TRUE","TRUE","TRUE"
"216","TRUE","TRUE","TRUE","TRUE"
"217","TRUE","TRUE","TRUE","TRUE"
"218",NA,"TRUE","TRUE","TRUE"
"219",NA,"TRUE","TRUE","TRUE"
"220",NA,"TRUE","TRUE","TRUE"
"221",NA,"TRUE","TRUE","TRUE"
"222",NA,"TRUE","TRUE","TRUE"
"223",NA,"TRUE","TRUE","TRUE"
"224",NA,"TRUE","TRUE","TRUE"
